pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
49,13,Michigan,Bachelors Degree,53617,67863,43125,4
54,10,New Jersey,Bachelors Degree,66241,81652,56093,4
59,16,Virginia,Bachelors Degree,60520,76339,49537,4
64,29,Washington,Bachelors Degree,61735,77313,49017,4
69,11,Arizona,Bachelors Degree,52892,64232,44561,4
74,12,Tennessee,Bachelors Degree,49236,60928,41791,4
79,15,Massachusetts,Bachelors Degree,63834,77340,53542,4
84,14,Indiana,Bachelors Degree,50751,63919,41777,4
89,18,Missouri,Bachelors Degree,50042,61420,41934,4
94,26,Maryland,Bachelors Degree,64348,76742,55340,4
99,22,Colorado,Bachelors Degree,54487,67534,45208,4
104,17,Wisconsin,Bachelors Degree,52686,64190,44927,4
109,21,Minnesota,Bachelors Degree,58085,70534,49162,4
114,19,South Carolina,Bachelors Degree,49440,62543,39929,4
119,20,Alabama,Bachelors Degree,50516,64767,41331,4
124,23,Louisiana,Bachelors Degree,50018,63053,42938,4
129,25,Kentucky,Bachelors Degree,49743,59436,42075,4
134,38,Oregon,Bachelors Degree,51224,62556,42174,4
139,24,Oklahoma,Bachelors Degree,47016,60493,39532,4
144,34,Connecticut,Bachelors Degree,64843,80537,52985,4
149,27,Utah,Bachelors Degree,50195,66310,35361,4
154,52,Puerto Rico,Bachelors Degree,25511,30122,23622,4
159,33,Nevada,Bachelors Degree,49770,57240,42926,4
164,28,Iowa,Bachelors Degree,51947,63035,43412,4
169,30,Arkansas,Bachelors Degree,47466,58917,41082,4
174,31,Mississippi,Bachelors Degree,43511,54644,37892,4
179,32,Kansas,Bachelors Degree,50394,63214,41623,4
184,36,New Mexico,Bachelors Degree,45594,51925,41214,4
189,35,Nebraska,Bachelors Degree,50424,60978,42926,4
194,37,Idaho,Bachelors Degree,45248,58261,36034,4
199,39,West Virginia,Bachelors Degree,44906,53851,39036,4
204,50,Hawaii,Bachelors Degree,51652,61224,45553,4
209,45,New Hampshire,Bachelors Degree,57385,74158,46179,4
214,48,Maine,Bachelors Degree,45866,54630,39732,4
219,42,Montana,Bachelors Degree,42388,51534,37148,4
224,40,Rhode Island,Bachelors Degree,56642,68194,49041,4
229,44,Delaware,Bachelors Degree,57420,66333,50628,4
234,41,South Dakota,Bachelors Degree,45948,54319,39879,4
239,43,North Dakota,Bachelors Degree,51227,62903,44313,4
244,46,Alaska,Bachelors Degree,57703,69741,48429,4
254,51,Vermont,Bachelors Degree,44606,53240,39314,4
259,47,Wyoming,Bachelors Degree,49141,55557,43077,4
5,1,California,Graduate Degree,89605,107203,75768,5
10,2,Texas,Graduate Degree,73266,93806,60982,5
15,3,Florida,Graduate Degree,62789,79648,53513,5
20,4,New York,Graduate Degree,78891,95382,69789,5
25,8,Pennsylvania,Graduate Degree,73133,89823,62994,5
