pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
211,48,Maine,Less Than High School,23228,26783,17488,2
216,42,Montana,Less Than High School,21008,27006,14910,1
216,42,Montana,Less Than High School,21008,27006,14910,2
221,40,Rhode Island,Less Than High School,27880,31891,21758,1
221,40,Rhode Island,Less Than High School,27880,31891,21758,2
226,44,Delaware,Less Than High School,27060,31458,21011,1
226,44,Delaware,Less Than High School,27060,31458,21011,2
231,41,South Dakota,Less Than High School,25740,29366,19485,1
231,41,South Dakota,Less Than High School,25740,29366,19485,2
236,43,North Dakota,Less Than High School,30865,39464,19820,1
236,43,North Dakota,Less Than High School,30865,39464,19820,2
241,46,Alaska,Less Than High School,25297,28833,21279,1
241,46,Alaska,Less Than High School,25297,28833,21279,2
251,51,Vermont,Less Than High School,26777,30672,16845,1
251,51,Vermont,Less Than High School,26777,30672,16845,2
256,47,Wyoming,Less Than High School,26671,32896,18191,1
256,47,Wyoming,Less Than High School,26671,32896,18191,2
2,1,California,High School Grad,31674,37077,26148,3
7,2,Texas,High School Grad,30683,36743,23862,3
12,3,Florida,High School Grad,27854,31703,23483,3
17,4,New York,High School Grad,32153,39044,26136,3
22,8,Pennsylvania,High School Grad,32000,40291,25419,3
27,5,Illinois,High School Grad,31625,39315,25055,3
32,7,Ohio,High School Grad,31277,38701,24197,3
37,6,Georgia,High School Grad,30264,34648,24322,3
42,9,North Carolina,High School Grad,29278,32969,23360,3
47,13,Michigan,High School Grad,30234,36280,23085,3
52,10,New Jersey,High School Grad,34524,42045,27094,3
57,16,Virginia,High School Grad,31759,38381,25685,3
62,29,Washington,High School Grad,35244,42001,27512,3
67,11,Arizona,High School Grad,30424,33572,25536,3
72,12,Tennessee,High School Grad,29753,34732,23746,3
77,15,Massachusetts,High School Grad,36973,44512,28546,3
82,14,Indiana,High School Grad,31968,40208,24746,3
87,18,Missouri,High School Grad,30658,36773,24162,3
92,26,Maryland,High School Grad,36394,42375,30368,3
97,22,Colorado,High School Grad,33987,39762,27283,3
102,17,Wisconsin,High School Grad,32738,40477,25984,3
107,21,Minnesota,High School Grad,33564,40634,26505,3
112,19,South Carolina,High School Grad,28940,33279,23227,3
117,20,Alabama,High School Grad,29892,36172,22350,3
122,23,Louisiana,High School Grad,30265,40742,21908,3
127,25,Kentucky,High School Grad,30445,36190,23266,3
132,38,Oregon,High School Grad,30815,36061,25236,3
137,24,Oklahoma,High School Grad,30315,37022,23176,3
142,34,Connecticut,High School Grad,37039,44211,29694,3
147,27,Utah,High School Grad,32333,41482,25557,3
152,52,Puerto Rico,High School Grad,15205,15879,13085,3
157,33,Nevada,High School Grad,32067,36540,28197,3
162,28,Iowa,High School Grad,32597,40799,24746,3
167,30,Arkansas,High School Grad,29034,33799,22919,3
172,31,Mississippi,High School Grad,27454,33197,21223,3
177,32,Kansas,High School Grad,30998,37875,23205,3
182,36,New Mexico,High School Grad,27471,31778,22354,3
187,35,Nebraska,High School Grad,31488,38657,24695,3
192,37,Idaho,High School Grad,30417,36137,22015,3
197,39,West Virginia,High School Grad,29353,37571,22263,3
202,50,Hawaii,High School Grad,34129,39132,30106,3
207,45,New Hampshire,High School Grad,36311,43164,28547,3
212,48,Maine,High School Grad,30626,36683,24170,3
217,42,Montana,High School Grad,29187,35589,22431,3
222,40,Rhode Island,High School Grad,36009,42551,29769,3
227,44,Delaware,High School Grad,32656,40373,27175,3
232,41,South Dakota,High School Grad,31248,38115,24335,3
237,43,North Dakota,High School Grad,36245,43971,26044,3
242,46,Alaska,High School Grad,36261,42097,27295,3
252,51,Vermont,High School Grad,32404,38289,26416,3
257,47,Wyoming,High School Grad,34778,47373,23504,3
3,1,California,Some College,39907,47112,32818,4
3,1,California,Some College,39907,47112,32818,5
8,2,Texas,Some College,37934,46389,31172,4
8,2,Texas,Some College,37934,46389,31172,5
13,3,Florida,Some College,33595,39230,30488,4
13,3,Florida,Some College,33595,39230,30488,5
18,4,New York,Some College,40430,48104,33947,4
18,4,New York,Some College,40430,48104,33947,5
23,8,Pennsylvania,Some College,38381,46864,31548,4
23,8,Pennsylvania,Some College,38381,46864,31548,5
28,5,Illinois,Some College,38395,48471,30836,4
28,5,Illinois,Some College,38395,48471,30836,5
33,7,Ohio,Some College,36098,44753,30274,4
33,7,Ohio,Some College,36098,44753,30274,5
38,6,Georgia,Some College,35222,43597,29573,4
38,6,Georgia,Some College,35222,43597,29573,5
43,9,North Carolina,Some College,33784,41493,28967,4
43,9,North Carolina,Some College,33784,41493,28967,5
48,13,Michigan,Some College,35492,44845,29029,4
48,13,Michigan,Some College,35492,44845,29029,5
53,10,New Jersey,Some College,43294,52609,35805,4
53,10,New Jersey,Some College,43294,52609,35805,5
58,16,Virginia,Some College,39256,47924,32200,4
58,16,Virginia,Some College,39256,47924,32200,5
63,29,Washington,Some College,41018,50661,32499,4
63,29,Washington,Some College,41018,50661,32499,5
68,11,Arizona,Some College,36809,43030,31451,4
68,11,Arizona,Some College,36809,43030,31451,5
73,12,Tennessee,Some College,34634,42542,29395,4
73,12,Tennessee,Some College,34634,42542,29395,5
78,15,Massachusetts,Some College,42469,51971,35774,4
78,15,Massachusetts,Some College,42469,51971,35774,5
83,14,Indiana,Some College,36600,46702,29754,4
83,14,Indiana,Some College,36600,46702,29754,5
88,18,Missouri,Some College,35102,42861,29850,4
88,18,Missouri,Some College,35102,42861,29850,5
93,26,Maryland,Some College,44455,52838,38554,4
93,26,Maryland,Some College,44455,52838,38554,5
98,22,Colorado,Some College,39197,46570,31915,4
98,22,Colorado,Some College,39197,46570,31915,5
103,17,Wisconsin,Some College,38901,47841,31511,4
103,17,Wisconsin,Some College,38901,47841,31511,5
108,21,Minnesota,Some College,40979,49328,33836,4
108,21,Minnesota,Some College,40979,49328,33836,5
113,19,South Carolina,Some College,34096,42705,28285,4
113,19,South Carolina,Some College,34096,42705,28285,5
118,20,Alabama,Some College,33590,44083,27354,4
118,20,Alabama,Some College,33590,44083,27354,5
123,23,Louisiana,Some College,34454,46939,27545,4
123,23,Louisiana,Some College,34454,46939,27545,5
128,25,Kentucky,Some College,34220,43297,28397,4
128,25,Kentucky,Some College,34220,43297,28397,5
133,38,Oregon,Some College,35639,42707,30136,4
133,38,Oregon,Some College,35639,42707,30136,5
138,24,Oklahoma,Some College,35042,43975,28521,4
138,24,Oklahoma,Some College,35042,43975,28521,5
143,34,Connecticut,Some College,43570,52768,36633,4
143,34,Connecticut,Some College,43570,52768,36633,5
148,27,Utah,Some College,36700,47256,27184,4
148,27,Utah,Some College,36700,47256,27184,5
153,52,Puerto Rico,Some College,17412,19285,16175,4
153,52,Puerto Rico,Some College,17412,19285,16175,5
158,33,Nevada,Some College,37952,43626,32409,4
158,33,Nevada,Some College,37952,43626,32409,5
163,28,Iowa,Some College,37900,46621,30589,4
163,28,Iowa,Some College,37900,46621,30589,5
168,30,Arkansas,Some College,32053,40068,27468,4
168,30,Arkansas,Some College,32053,40068,27468,5
173,31,Mississippi,Some College,31773,41202,26416,4
173,31,Mississippi,Some College,31773,41202,26416,5
178,32,Kansas,Some College,36097,44471,29414,4
178,32,Kansas,Some College,36097,44471,29414,5
183,36,New Mexico,Some College,31676,40028,26538,4
183,36,New Mexico,Some College,31676,40028,26538,5
188,35,Nebraska,Some College,37348,46021,30342,4
188,35,Nebraska,Some College,37348,46021,30342,5
193,37,Idaho,Some College,32256,41902,25531,4
193,37,Idaho,Some College,32256,41902,25531,5
198,39,West Virginia,Some College,32352,43719,26566,4
198,39,West Virginia,Some College,32352,43719,26566,5
203,50,Hawaii,Some College,40528,47559,34880,4
203,50,Hawaii,Some College,40528,47559,34880,5
208,45,New Hampshire,Some College,42222,51980,34787,4
208,45,New Hampshire,Some College,42222,51980,34787,5
213,48,Maine,Some College,35985,43752,30506,4
213,48,Maine,Some College,35985,43752,30506,5
218,42,Montana,Some College,31875,40302,26735,4
218,42,Montana,Some College,31875,40302,26735,5
223,40,Rhode Island,Some College,40976,49586,35313,4
223,40,Rhode Island,Some College,40976,49586,35313,5
228,44,Delaware,Some College,39090,45928,32950,4
228,44,Delaware,Some College,39090,45928,32950,5
233,41,South Dakota,Some College,36300,44336,30048,4
233,41,South Dakota,Some College,36300,44336,30048,5
238,43,North Dakota,Some College,41707,52032,31612,4
238,43,North Dakota,Some College,41707,52032,31612,5
243,46,Alaska,Some College,44630,53836,36263,4
243,46,Alaska,Some College,44630,53836,36263,5
253,51,Vermont,Some College,38234,44445,32745,4
253,51,Vermont,Some College,38234,44445,32745,5
258,47,Wyoming,Some College,37699,51439,28739,4
258,47,Wyoming,Some College,37699,51439,28739,5
4,1,California,Bachelors Degree,63230,75794,53357,6
9,2,Texas,Bachelors Degree,56363,70139,49671,6
14,3,Florida,Bachelors Degree,47440,56204,41640,6
19,4,New York,Bachelors Degree,61606,71252,53455,6
24,8,Pennsylvania,Bachelors Degree,54358,65211,45918,6
29,5,Illinois,Bachelors Degree,58803,72286,48829,6
34,7,Ohio,Bachelors Degree,53703,65129,45039,6
39,6,Georgia,Bachelors Degree,53783,67378,44919,6
44,9,North Carolina,Bachelors Degree,50523,63291,42689,6
49,13,Michigan,Bachelors Degree,53617,67863,43125,6
54,10,New Jersey,Bachelors Degree,66241,81652,56093,6
59,16,Virginia,Bachelors Degree,60520,76339,49537,6
64,29,Washington,Bachelors Degree,61735,77313,49017,6
69,11,Arizona,Bachelors Degree,52892,64232,44561,6
74,12,Tennessee,Bachelors Degree,49236,60928,41791,6
79,15,Massachusetts,Bachelors Degree,63834,77340,53542,6
84,14,Indiana,Bachelors Degree,50751,63919,41777,6
89,18,Missouri,Bachelors Degree,50042,61420,41934,6
94,26,Maryland,Bachelors Degree,64348,76742,55340,6
99,22,Colorado,Bachelors Degree,54487,67534,45208,6
104,17,Wisconsin,Bachelors Degree,52686,64190,44927,6
109,21,Minnesota,Bachelors Degree,58085,70534,49162,6
114,19,South Carolina,Bachelors Degree,49440,62543,39929,6
119,20,Alabama,Bachelors Degree,50516,64767,41331,6
124,23,Louisiana,Bachelors Degree,50018,63053,42938,6
129,25,Kentucky,Bachelors Degree,49743,59436,42075,6
134,38,Oregon,Bachelors Degree,51224,62556,42174,6
139,24,Oklahoma,Bachelors Degree,47016,60493,39532,6
144,34,Connecticut,Bachelors Degree,64843,80537,52985,6
149,27,Utah,Bachelors Degree,50195,66310,35361,6
154,52,Puerto Rico,Bachelors Degree,25511,30122,23622,6
159,33,Nevada,Bachelors Degree,49770,57240,42926,6
164,28,Iowa,Bachelors Degree,51947,63035,43412,6
169,30,Arkansas,Bachelors Degree,47466,58917,41082,6
174,31,Mississippi,Bachelors Degree,43511,54644,37892,6
179,32,Kansas,Bachelors Degree,50394,63214,41623,6
184,36,New Mexico,Bachelors Degree,45594,51925,41214,6
189,35,Nebraska,Bachelors Degree,50424,60978,42926,6
194,37,Idaho,Bachelors Degree,45248,58261,36034,6
199,39,West Virginia,Bachelors Degree,44906,53851,39036,6
204,50,Hawaii,Bachelors Degree,51652,61224,45553,6
209,45,New Hampshire,Bachelors Degree,57385,74158,46179,6
214,48,Maine,Bachelors Degree,45866,54630,39732,6
219,42,Montana,Bachelors Degree,42388,51534,37148,6
224,40,Rhode Island,Bachelors Degree,56642,68194,49041,6
229,44,Delaware,Bachelors Degree,57420,66333,50628,6
234,41,South Dakota,Bachelors Degree,45948,54319,39879,6
239,43,North Dakota,Bachelors Degree,51227,62903,44313,6
244,46,Alaska,Bachelors Degree,57703,69741,48429,6
254,51,Vermont,Bachelors Degree,44606,53240,39314,6
259,47,Wyoming,Bachelors Degree,49141,55557,43077,6
5,1,California,Graduate Degree,89605,107203,75768,7
10,2,Texas,Graduate Degree,73266,93806,60982,7
15,3,Florida,Graduate Degree,62789,79648,53513,7
20,4,New York,Graduate Degree,78891,95382,69789,7
25,8,Pennsylvania,Graduate Degree,73133,89823,62994,7
30,5,Illinois,Graduate Degree,76258,95641,64162,7
35,7,Ohio,Graduate Degree,69233,83408,60914,7
40,6,Georgia,Graduate Degree,67503,86620,58871,7
45,9,North Carolina,Graduate Degree,63845,85203,54012,7
50,13,Michigan,Graduate Degree,72470,90046,61285,7
55,10,New Jersey,Graduate Degree,91373,110939,74567,7
60,16,Virginia,Graduate Degree,84674,106984,65411,7
65,29,Washington,Graduate Degree,80457,101172,66057,7
70,11,Arizona,Graduate Degree,67140,84402,55394,7
75,12,Tennessee,Graduate Degree,62229,79720,53497,7
80,15,Massachusetts,Graduate Degree,82404,102691,71508,7
85,14,Indiana,Graduate Degree,64207,78707,55776,7
90,18,Missouri,Graduate Degree,62076,77284,53957,7
95,26,Maryland,Graduate Degree,87668,106133,75625,7
100,22,Colorado,Graduate Degree,70373,89110,57521,7
105,17,Wisconsin,Graduate Degree,66536,79154,60231,7
110,21,Minnesota,Graduate Degree,75047,87163,66319,7
115,19,South Carolina,Graduate Degree,59295,76763,52353,7
120,20,Alabama,Graduate Degree,60823,83273,53388,7
125,23,Louisiana,Graduate Degree,60735,80012,52877,7
130,25,Kentucky,Graduate Degree,58942,72541,53915,7
135,38,Oregon,Graduate Degree,68522,85269,58594,7
140,24,Oklahoma,Graduate Degree,60340,77229,49963,7
145,34,Connecticut,Graduate Degree,85052,105204,71445,7
150,27,Utah,Graduate Degree,74609,90628,55912,7
155,52,Puerto Rico,Graduate Degree,37145,45406,32365,7
160,33,Nevada,Graduate Degree,67544,80782,60009,7
165,28,Iowa,Graduate Degree,67050,79523,61037,7
170,30,Arkansas,Graduate Degree,61057,76266,53961,7
175,31,Mississippi,Graduate Degree,55505,71607,50424,7
180,32,Kansas,Graduate Degree,62748,79448,54117,7
185,36,New Mexico,Graduate Degree,62125,79877,55121,7
190,35,Nebraska,Graduate Degree,63653,76298,57074,7
195,37,Idaho,Graduate Degree,62750,76910,51312,7
200,39,West Virginia,Graduate Degree,56808,71106,51815,7
205,50,Hawaii,Graduate Degree,70271,82246,61958,7
210,45,New Hampshire,Graduate Degree,72303,93432,62232,7
215,48,Maine,Graduate Degree,60244,70280,54835,7
220,42,Montana,Graduate Degree,57471,68343,51624,7
225,40,Rhode Island,Graduate Degree,76777,87644,69972,7
230,44,Delaware,Graduate Degree,72013,85304,65156,7
235,41,South Dakota,Graduate Degree,57538,66625,52762,7
240,43,North Dakota,Graduate Degree,65538,77319,59002,7
245,46,Alaska,Graduate Degree,76638,87626,70144,7
255,51,Vermont,Graduate Degree,61517,73233,54726,7
260,47,Wyoming,Graduate Degree,62430,68893,57694,7
